Organism Name,Organism Groups,Strain,BioSample,BioProject,Size(Mb),GC%,Replicons,CDS,Neighbors,Release Date,Genes
"Acetobacter ascendens","Bacteria;Proteobacteria;Alphaproteobacteria","SRCM101447","SAMN07125917","PRJNA386748",0.336151,52.1239,"pAP1447-1:NZ_CP021525.1/CP021525.1",301,0,"2017-06-08T00:00:00Z",348
"Acetobacter ascendens","Bacteria;Proteobacteria;Alphaproteobacteria","SRCM101447","SAMN07125917","PRJNA386748",0.044181,51.873,"pAP1447-2:NZ_CP021526.1/CP021526.1",48,0,"2017-06-08T00:00:00Z",57
"Acetobacter ascendens","Bacteria;Proteobacteria;Alphaproteobacteria","SRCM101447","SAMN07125917","PRJNA386748",0.003654,54.8714,"pAP1447-3:NZ_CP021527.1/CP021527.1",1,0,"2017-06-08T00:00:00Z",7
"Acetobacter ascendens","Bacteria;Proteobacteria;Alphaproteobacteria","LMG 1591","SAMN04605655","PRJNA317328",0.259464,54.1798,"unnamed1:NZ_CP015169.1/CP015169.1",213,0,"2016-10-17T00:00:00Z",258
"Acetobacter ascendens","Bacteria;Proteobacteria;Alphaproteobacteria","LMG 1591","SAMN04605655","PRJNA317328",0.117661,54.4607,"unnamed2:NZ_CP015170.1/CP015170.1",83,0,"2016-10-17T00:00:00Z",109
"Acetobacter ascendens","Bacteria;Proteobacteria;Alphaproteobacteria","LMG 1591","SAMN04605655","PRJNA317328",0.028186,54.6371,"unnamed3:NZ_CP015171.1/CP015171.1",27,0,"2016-10-17T00:00:00Z",31
"Acetobacter ghanensis","Bacteria;Proteobacteria;Alphaproteobacteria","LMG 23848T","SAMEA2738364","PRJEB7123",0.161207,55.7259,"1P:NZ_LN609303.1/LN609303.1",163,0,"2016-01-03T00:00:00Z",179
"Acetobacter ghanensis","Bacteria;Proteobacteria;Alphaproteobacteria","LMG 23848T","SAMEA2738364","PRJEB7123",0.017845,53.5444,"2P:NZ_LN609304.1/LN609304.1",18,0,"2016-01-03T00:00:00Z",19
"Acetobacter orientalis","Bacteria;Proteobacteria;Alphaproteobacteria","FAN1","SAMD00112201","PRJDB6747",0.173853,55.9611,"pAOF1:NZ_AP018516.1/AP018516.1",162,0,"2018-12-28T00:00:00Z",171
"Acetobacter oryzifermentans","Bacteria;Proteobacteria;Alphaproteobacteria","SLV-7","SAMN03437041","PRJNA279108",0.165374,52.3934,"unnamed1:NZ_CP011121.1/CP011121.1",148,0,"2016-04-25T00:00:00Z",172
"Acetobacter oryzifermentans","Bacteria;Proteobacteria;Alphaproteobacteria","SLV-7","SAMN03437041","PRJNA279108",0.116245,51.5308,"unnamed2:NZ_CP011122.1/CP011122.1",106,0,"2016-04-25T00:00:00Z",126
"Acetobacter oryzifermentans","Bacteria;Proteobacteria;Alphaproteobacteria","SLV-7","SAMN03437041","PRJNA279108",0.02529,55.8679,"unnamed3:NZ_CP011123.1/CP011123.1",30,0,"2016-04-25T00:00:00Z",35
"Acetobacter oryzoeni","Bacteria;Proteobacteria;Alphaproteobacteria","B6","SAMN10691009","PRJNA512941",0.246434,53.6545,"unnamed1:NZ_CP042809.1/CP042809.1",221,0,"2019-08-09T00:00:00Z",257
"Acetobacter oryzoeni","Bacteria;Proteobacteria;Alphaproteobacteria","B6","SAMN10691009","PRJNA512941",0.132758,50.7871,"unnamed2:NZ_CP042810.1/CP042810.1",102,0,"2019-08-09T00:00:00Z",123
"Acetobacter oryzoeni","Bacteria;Proteobacteria;Alphaproteobacteria","B6","SAMN10691009","PRJNA512941",0.029595,56.0872,"unnamed3:NZ_CP042811.1/CP042811.1",30,0,"2019-08-09T00:00:00Z",35
"Acetobacter pasteurianus","Bacteria;Proteobacteria;Alphaproteobacteria","","","PRJNA178864",0.00144,57.4306,"pAP12875:NC_004991.1/U20550.1",2,0,"2003-07-07T00:00:00Z",2
"Acetobacter pasteurianus","Bacteria;Proteobacteria;Alphaproteobacteria","","","PRJNA178864",0.004484,51.1597,"pAP2:NC_007293.1/AM055747.1",1,0,"2005-08-04T00:00:00Z",1
"Acetobacter pasteurianus","Bacteria;Proteobacteria;Alphaproteobacteria","","","PRJNA178864",0.002446,29.5585,"pGR7:NC_010177.2/AM922326.2",3,0,"2007-12-19T00:00:00Z",3
"Acetobacter pasteurianus","Bacteria;Proteobacteria;Alphaproteobacteria","","","PRJNA178864",0.020898,51.8853,"pAC258-26:NC_019327.1/JQ418524.1",32,0,"2012-11-04T00:00:00Z",32
"Acetobacter pasteurianus","Bacteria;Proteobacteria;Alphaproteobacteria","","","PRJNA178864",0.030498,50.7115,"pAC258-29:NC_019337.1/JQ418523.1",42,0,"2012-11-04T00:00:00Z",42
"Acetobacter pasteurianus","Bacteria;Proteobacteria;Alphaproteobacteria","CICC 22518","SAMN11523864","PRJNA540194",0.471276,45.8487,"pAP22518-1:NZ_CP039845.1/CP039845.1",409,0,"2020-01-23T00:00:00Z",421
"Acetobacter pasteurianus","Bacteria;Proteobacteria;Alphaproteobacteria","CICC 22518","SAMN11523864","PRJNA540194",0.160303,52.2504,"pAP22518-2:NZ_CP039847.1/CP039847.1",141,0,"2020-01-23T00:00:00Z",170
"Acetobacter pasteurianus 386B","Bacteria;Proteobacteria;Alphaproteobacteria","386B","SAMEA3139047","PRJEB1172",0.19478,52.0094,"Apa386Bp1:NC_021976.1/HF677571.1",178,0,"2013-08-01T00:00:00Z",208
"Acetobacter pasteurianus 386B","Bacteria;Proteobacteria;Alphaproteobacteria","386B","SAMEA3139047","PRJEB1172",0.011105,52.2828,"Apa386Bp4:NC_021977.1/HF677574.1",11,0,"2013-08-01T00:00:00Z",14
"Acetobacter pasteurianus 386B","Bacteria;Proteobacteria;Alphaproteobacteria","386B","SAMEA3139047","PRJEB1172",0.006548,51.7868,"Apa386Bp6:NC_021978.1/HF677576.1",8,0,"2013-08-01T00:00:00Z",9
"Acetobacter pasteurianus 386B","Bacteria;Proteobacteria;Alphaproteobacteria","386B","SAMEA3139047","PRJEB1172",0.003851,47.0267,"Apa386Bp7:NC_021979.1/HF677577.1",3,0,"2013-08-01T00:00:00Z",3
"Acetobacter pasteurianus 386B","Bacteria;Proteobacteria;Alphaproteobacteria","386B","SAMEA3139047","PRJEB1172",0.015601,55.4708,"Apa386Bp3:NC_021992.1/HF677573.1",13,0,"2013-08-01T00:00:00Z",15
"Acetobacter pasteurianus 386B","Bacteria;Proteobacteria;Alphaproteobacteria","386B","SAMEA3139047","PRJEB1172",0.009914,50.7464,"Apa386Bp5:NC_021993.1/HF677575.1",7,0,"2013-08-01T00:00:00Z",13
"Acetobacter pasteurianus 386B","Bacteria;Proteobacteria;Alphaproteobacteria","386B","SAMEA3139047","PRJEB1172",0.018169,55.5672,"Apa386Bp2:NZ_HF677572.1/HF677572.1",21,0,"2013-08-01T00:00:00Z",22
"Acetobacter pasteurianus IFO 3283-01","Bacteria;Proteobacteria;Alphaproteobacteria","IFO 3283 substr. IFO 3283-01","SAMD00060943","PRJDA31129",0.191799,53.3621,"pAPA01-011:NC_013210.1/AP011122.1",152,0,"2009-09-14T00:00:00Z",185
"Acetobacter pasteurianus IFO 3283-01","Bacteria;Proteobacteria;Alphaproteobacteria","IFO 3283 substr. IFO 3283-01","SAMD00060943","PRJDA31129",0.18294,53.4968,"pAPA01-020:NC_013211.1/AP011123.1",136,0,"2009-09-14T00:00:00Z",167
"Acetobacter pasteurianus IFO 3283-01","Bacteria;Proteobacteria;Alphaproteobacteria","IFO 3283 substr. IFO 3283-01","SAMD00060943","PRJDA31129",0.049961,53.882,"pAPA01-030:NC_013212.1/AP011124.1",60,0,"2009-09-14T00:00:00Z",61
"Acetobacter pasteurianus IFO 3283-01","Bacteria;Proteobacteria;Alphaproteobacteria","IFO 3283 substr. IFO 3283-01","SAMD00060943","PRJDA31129",0.003204,53.7453,"pAPA01-040:NC_013213.1/AP011125.1",4,0,"2009-09-14T00:00:00Z",4
"Acetobacter pasteurianus IFO 3283-01","Bacteria;Proteobacteria;Alphaproteobacteria","IFO 3283 substr. IFO 3283-01","SAMD00060943","PRJDA31129",0.003035,55.7825,"pAPA01-050:NC_013214.1/AP011126.1",3,0,"2009-09-14T00:00:00Z",3
"Acetobacter pasteurianus IFO 3283-01","Bacteria;Proteobacteria;Alphaproteobacteria","IFO 3283 substr. IFO 3283-01","SAMD00060943","PRJDA31129",0.001815,58.5675,"pAPA01-060:NC_013215.1/AP011127.1",2,0,"2009-09-14T00:00:00Z",2
"Acetobacter pasteurianus IFO 3283-01-42C","Bacteria;Proteobacteria;Alphaproteobacteria","IFO 3283 substr. IFO 3283-01-42C","SAMD00060949","PRJDA31141",0.191799,53.3621,"pAPA42C_011:NC_017104.1/AP011164.1",153,0,"2012-04-12T00:00:00Z",185
"Acetobacter pasteurianus IFO 3283-01-42C","Bacteria;Proteobacteria;Alphaproteobacteria","IFO 3283 substr. IFO 3283-01-42C","SAMD00060949","PRJDA31141",0.18294,53.4968,"pAPA42C_020:NC_017105.1/AP011165.1",133,0,"2012-04-12T00:00:00Z",163
"Acetobacter pasteurianus IFO 3283-01-42C","Bacteria;Proteobacteria;Alphaproteobacteria","IFO 3283 substr. IFO 3283-01-42C","SAMD00060949","PRJDA31141",0.003204,53.7453,"pAPA42C_040:NC_017106.1/AP011167.1",4,0,"2012-04-12T00:00:00Z",4
"Acetobacter pasteurianus IFO 3283-01-42C","Bacteria;Proteobacteria;Alphaproteobacteria","IFO 3283 substr. IFO 3283-01-42C","SAMD00060949","PRJDA31141",0.003035,55.7825,"pAPA42C_050:NC_017107.1/AP011168.1",3,0,"2012-04-12T00:00:00Z",3
"Acetobacter pasteurianus IFO 3283-01-42C","Bacteria;Proteobacteria;Alphaproteobacteria","IFO 3283 substr. IFO 3283-01-42C","SAMD00060949","PRJDA31141",0.049961,53.882,"pAPA42C_030:NC_017151.1/AP011166.1",60,0,"2012-04-12T00:00:00Z",61
"Acetobacter pasteurianus IFO 3283-01-42C","Bacteria;Proteobacteria;Alphaproteobacteria","IFO 3283 substr. IFO 3283-01-42C","SAMD00060949","PRJDA31141",0.001815,58.5675,"pAPA42C_060:NC_017152.1/AP011169.1",1,0,"2012-04-12T00:00:00Z",1
"Acetobacter pasteurianus IFO 3283-03","Bacteria;Proteobacteria;Alphaproteobacteria","IFO 3283 substr. IFO 3283-03","SAMD00060944","PRJDA31131",0.191427,53.366,"pAPA03-010:NC_017101.1/AP011129.1",152,0,"2012-04-11T00:00:00Z",184
"Acetobacter pasteurianus IFO 3283-03","Bacteria;Proteobacteria;Alphaproteobacteria","IFO 3283 substr. IFO 3283-03","SAMD00060944","PRJDA31131",0.001815,58.5675,"pAPA03-060:NC_017109.1/AP011134.1",1,0,"2012-04-11T00:00:00Z",1
"Acetobacter pasteurianus IFO 3283-03","Bacteria;Proteobacteria;Alphaproteobacteria","IFO 3283 substr. IFO 3283-03","SAMD00060944","PRJDA31131",0.18294,53.4968,"pAPA03-020:NC_017118.1/AP011130.1",133,0,"2012-04-11T00:00:00Z",163
"Acetobacter pasteurianus IFO 3283-03","Bacteria;Proteobacteria;Alphaproteobacteria","IFO 3283 substr. IFO 3283-03","SAMD00060944","PRJDA31131",0.049961,53.882,"pAPA03-030:NC_017119.1/AP011131.1",60,0,"2012-04-11T00:00:00Z",61
"Acetobacter pasteurianus IFO 3283-03","Bacteria;Proteobacteria;Alphaproteobacteria","IFO 3283 substr. IFO 3283-03","SAMD00060944","PRJDA31131",0.003035,55.7825,"pAPA03-050:NC_017120.1/AP011133.1",3,0,"2012-04-11T00:00:00Z",3
"Acetobacter pasteurianus IFO 3283-03","Bacteria;Proteobacteria;Alphaproteobacteria","IFO 3283 substr. IFO 3283-03","SAMD00060944","PRJDA31131",0.003204,53.7453,"pAPA03-040:NC_017142.1/AP011132.1",4,0,"2012-04-11T00:00:00Z",4
"Acetobacter pasteurianus IFO 3283-07","Bacteria;Proteobacteria;Alphaproteobacteria","IFO 3283 substr. IFO 3283-07","SAMD00060945","PRJDA31133",0.049961,53.882,"pAPA07-030:NC_017110.1/AP011138.1",60,0,"2012-04-11T00:00:00Z",61
"Acetobacter pasteurianus IFO 3283-07","Bacteria;Proteobacteria;Alphaproteobacteria","IFO 3283 substr. IFO 3283-07","SAMD00060945","PRJDA31133",0.18294,53.4968,"pAPA07-020:NC_017122.1/AP011137.1",133,0,"2012-04-11T00:00:00Z",163
"Acetobacter pasteurianus IFO 3283-07","Bacteria;Proteobacteria;Alphaproteobacteria","IFO 3283 substr. IFO 3283-07","SAMD00060945","PRJDA31133",0.003204,53.7453,"pAPA07-040:NC_017123.1/AP011139.1",4,0,"2012-04-11T00:00:00Z",4
"Acetobacter pasteurianus IFO 3283-07","Bacteria;Proteobacteria;Alphaproteobacteria","IFO 3283 substr. IFO 3283-07","SAMD00060945","PRJDA31133",0.001815,58.5675,"pAPA07-060:NC_017124.1/AP011141.1",1,0,"2012-04-11T00:00:00Z",1
"Acetobacter pasteurianus IFO 3283-07","Bacteria;Proteobacteria;Alphaproteobacteria","IFO 3283 substr. IFO 3283-07","SAMD00060945","PRJDA31133",0.191427,53.366,"pAPA07-010:NC_017143.1/AP011136.1",152,0,"2012-04-11T00:00:00Z",184
"Acetobacter pasteurianus IFO 3283-07","Bacteria;Proteobacteria;Alphaproteobacteria","IFO 3283 substr. IFO 3283-07","SAMD00060945","PRJDA31133",0.003035,55.7825,"pAPA07-050:NC_017144.1/AP011140.1",3,0,"2012-04-11T00:00:00Z",3
"Acetobacter pasteurianus IFO 3283-12","Bacteria;Proteobacteria;Alphaproteobacteria","IFO 3283 substr. IFO 3283-12","SAMD00061107","PRJNA32203",0.18294,53.4968,"pAPA12-020:NC_017113.1/AP011172.1",133,0,"2012-04-11T00:00:00Z",163
"Acetobacter pasteurianus IFO 3283-12","Bacteria;Proteobacteria;Alphaproteobacteria","IFO 3283 substr. IFO 3283-12","SAMD00061107","PRJNA32203",0.049961,53.882,"pAPA12-030:NC_017114.1/AP011173.1",60,0,"2012-04-11T00:00:00Z",61
"Acetobacter pasteurianus IFO 3283-12","Bacteria;Proteobacteria;Alphaproteobacteria","IFO 3283 substr. IFO 3283-12","SAMD00061107","PRJNA32203",0.003204,53.7453,"pAPA12-040:NC_017115.1/AP011174.1",4,0,"2012-04-11T00:00:00Z",4
"Acetobacter pasteurianus IFO 3283-12","Bacteria;Proteobacteria;Alphaproteobacteria","IFO 3283 substr. IFO 3283-12","SAMD00061107","PRJNA32203",0.003035,55.7825,"pAPA12-050:NC_017116.1/AP011175.1",3,0,"2012-04-11T00:00:00Z",3
"Acetobacter pasteurianus IFO 3283-12","Bacteria;Proteobacteria;Alphaproteobacteria","IFO 3283 substr. IFO 3283-12","SAMD00061107","PRJNA32203",0.191411,53.3663,"pAPA12-014:NC_017136.1/AP011171.1",152,0,"2012-04-11T00:00:00Z",184
"Acetobacter pasteurianus IFO 3283-12","Bacteria;Proteobacteria;Alphaproteobacteria","IFO 3283 substr. IFO 3283-12","SAMD00061107","PRJNA32203",0.001815,58.5675,"pAPA12-060:NC_017137.1/AP011176.1",1,0,"2012-04-11T00:00:00Z",1
"Acetobacter pasteurianus IFO 3283-22","Bacteria;Proteobacteria;Alphaproteobacteria","IFO 3283 substr. IFO 3283-22","SAMD00060946","PRJDA31135",0.191427,53.366,"pAPA22-010:NC_017117.1/AP011143.1",152,0,"2012-04-11T00:00:00Z",184
"Acetobacter pasteurianus IFO 3283-22","Bacteria;Proteobacteria;Alphaproteobacteria","IFO 3283 substr. IFO 3283-22","SAMD00060946","PRJDA31135",0.18294,53.4968,"pAPA22-020:NC_017126.1/AP011144.1",133,0,"2012-04-11T00:00:00Z",163
"Acetobacter pasteurianus IFO 3283-22","Bacteria;Proteobacteria;Alphaproteobacteria","IFO 3283 substr. IFO 3283-22","SAMD00060946","PRJDA31135",0.049961,53.882,"pAPA22-030:NC_017127.1/AP011145.1",60,0,"2012-04-11T00:00:00Z",61
"Acetobacter pasteurianus IFO 3283-22","Bacteria;Proteobacteria;Alphaproteobacteria","IFO 3283 substr. IFO 3283-22","SAMD00060946","PRJDA31135",0.003035,55.7825,"pAPA22-050:NC_017128.1/AP011147.1",3,0,"2012-04-11T00:00:00Z",3
"Acetobacter pasteurianus IFO 3283-22","Bacteria;Proteobacteria;Alphaproteobacteria","IFO 3283 substr. IFO 3283-22","SAMD00060946","PRJDA31135",0.001815,58.5675,"pAPA22-060:NC_017129.1/AP011148.1",1,0,"2012-04-11T00:00:00Z",1
"Acetobacter pasteurianus IFO 3283-22","Bacteria;Proteobacteria;Alphaproteobacteria","IFO 3283 substr. IFO 3283-22","SAMD00060946","PRJDA31135",0.003204,53.7453,"pAPA22-040:NC_017145.1/AP011146.1",4,0,"2012-04-11T00:00:00Z",4
"Acetobacter pasteurianus IFO 3283-26","Bacteria;Proteobacteria;Alphaproteobacteria","IFO 3283 substr. IFO 3283-26","SAMD00060947","PRJDA31137",0.191419,53.3662,"pAPA26-013:NC_017130.1/AP011150.1",152,0,"2012-04-11T00:00:00Z",184
"Acetobacter pasteurianus IFO 3283-26","Bacteria;Proteobacteria;Alphaproteobacteria","IFO 3283 substr. IFO 3283-26","SAMD00060947","PRJDA31137",0.18294,53.4968,"pAPA26-020:NC_017131.1/AP011151.1",133,0,"2012-04-11T00:00:00Z",163
"Acetobacter pasteurianus IFO 3283-26","Bacteria;Proteobacteria;Alphaproteobacteria","IFO 3283 substr. IFO 3283-26","SAMD00060947","PRJDA31137",0.003204,53.7453,"pAPA26-040:NC_017132.1/AP011153.1",4,0,"2012-04-11T00:00:00Z",4
"Acetobacter pasteurianus IFO 3283-26","Bacteria;Proteobacteria;Alphaproteobacteria","IFO 3283 substr. IFO 3283-26","SAMD00060947","PRJDA31137",0.001815,58.5675,"pAPA26-060:NC_017133.1/AP011155.1",1,0,"2012-04-11T00:00:00Z",1
"Acetobacter pasteurianus IFO 3283-26","Bacteria;Proteobacteria;Alphaproteobacteria","IFO 3283 substr. IFO 3283-26","SAMD00060947","PRJDA31137",0.049961,53.882,"pAPA26-030:NC_017147.1/AP011152.1",60,0,"2012-04-11T00:00:00Z",61
"Acetobacter pasteurianus IFO 3283-26","Bacteria;Proteobacteria;Alphaproteobacteria","IFO 3283 substr. IFO 3283-26","SAMD00060947","PRJDA31137",0.003035,55.7825,"pAPA26-050:NC_017148.1/AP011154.1",3,0,"2012-04-11T00:00:00Z",3
"Acetobacter pasteurianus IFO 3283-32","Bacteria;Proteobacteria;Alphaproteobacteria","IFO 3283 substr. IFO 3283-32","SAMD00060948","PRJDA31139",0.003204,53.7453,"pAPA32-040:NC_017102.1/AP011160.1",4,0,"2012-04-11T00:00:00Z",4
"Acetobacter pasteurianus IFO 3283-32","Bacteria;Proteobacteria;Alphaproteobacteria","IFO 3283 substr. IFO 3283-32","SAMD00060948","PRJDA31139",0.003035,55.7825,"pAPA32-050:NC_017103.1/AP011161.1",3,0,"2012-04-11T00:00:00Z",3
"Acetobacter pasteurianus IFO 3283-32","Bacteria;Proteobacteria;Alphaproteobacteria","IFO 3283 substr. IFO 3283-32","SAMD00060948","PRJDA31139",0.001815,58.5675,"pAPA32-060:NC_017112.1/AP011162.1",1,0,"2012-04-11T00:00:00Z",1
"Acetobacter pasteurianus IFO 3283-32","Bacteria;Proteobacteria;Alphaproteobacteria","IFO 3283 substr. IFO 3283-32","SAMD00060948","PRJDA31139",0.191443,53.3658,"pAPA32-012:NC_017134.1/AP011157.1",152,0,"2012-04-11T00:00:00Z",184
"Acetobacter pasteurianus IFO 3283-32","Bacteria;Proteobacteria;Alphaproteobacteria","IFO 3283 substr. IFO 3283-32","SAMD00060948","PRJDA31139",0.049961,53.882,"pAPA32-030:NC_017135.1/AP011159.1",60,0,"2012-04-11T00:00:00Z",61
"Acetobacter pasteurianus IFO 3283-32","Bacteria;Proteobacteria;Alphaproteobacteria","IFO 3283 substr. IFO 3283-32","SAMD00060948","PRJDA31139",0.18294,53.4968,"pAPA32-020:NC_017149.1/AP011158.1",133,0,"2012-04-11T00:00:00Z",163
"Acetobacter pasteurianus NBRC 101655","Bacteria;Proteobacteria;Alphaproteobacteria","NBRC 101655","SAMD00010881","PRJDA65545",0.187193,52.0228,"plasmid1:NZ_AP014882.1/AP014882.1",165,0,"2016-02-27T00:00:00Z",196
"Acetobacter pasteurianus NBRC 101655","Bacteria;Proteobacteria;Alphaproteobacteria","NBRC 101655","SAMD00010881","PRJDA65545",0.006331,52.8826,"plasmid2:NZ_AP014883.1/AP014883.1",6,0,"2016-02-27T00:00:00Z",10
"Acetobacter pasteurianus NBRC 101655","Bacteria;Proteobacteria;Alphaproteobacteria","NBRC 101655","SAMD00010881","PRJDA65545",0.002799,58.1994,"plasmid3:NZ_AP014884.1/AP014884.1",4,0,"2016-02-27T00:00:00Z",4
"Acetobacter pasteurianus NBRC 101655","Bacteria;Proteobacteria;Alphaproteobacteria","NBRC 101655","SAMD00010881","PRJDA65545",0.002278,55.7068,"plasmid4:NZ_AP014885.1/AP014885.1",2,0,"2016-02-27T00:00:00Z",2
"Acetobacter pasteurianus subsp. pasteurianus","Bacteria;Proteobacteria;Alphaproteobacteria","SRCM101342","SAMN07125916","PRJNA386747",0.022563,53.7473,"pAP1342-1:NZ_CP021510.1/CP021510.1",18,0,"2017-06-08T00:00:00Z",29
"Acetobacter pasteurianus subsp. pasteurianus","Bacteria;Proteobacteria;Alphaproteobacteria","SRCM101342","SAMN07125916","PRJNA386747",0.190983,53.1053,"pAP1342-2:NZ_CP021511.1/CP021511.1",153,0,"2017-06-08T00:00:00Z",188
"Acetobacter pasteurianus subsp. pasteurianus","Bacteria;Proteobacteria;Alphaproteobacteria","SRCM101342","SAMN07125916","PRJNA386747",0.256755,52.2611,"pAP1342-3:NZ_CP021512.1/CP021512.1",220,0,"2017-06-08T00:00:00Z",253
"Acetobacter pasteurianus subsp. pasteurianus","Bacteria;Proteobacteria;Alphaproteobacteria","SRCM101342","SAMN07125916","PRJNA386747",0.019899,57.42,"pAP1342-4:NZ_CP021513.1/CP021513.1",21,0,"2017-06-08T00:00:00Z",22
"Acetobacter pasteurianus subsp. pasteurianus","Bacteria;Proteobacteria;Alphaproteobacteria","SRCM101342","SAMN07125916","PRJNA386747",0.043021,38.2139,"pAP1342-5:NZ_CP021514.1/CP021514.1",49,0,"2017-06-08T00:00:00Z",49
"Acetobacter pasteurianus subsp. pasteurianus","Bacteria;Proteobacteria;Alphaproteobacteria","SRCM101468","SAMN07211335","PRJNA389952",0.177959,53.5314,"pAP1468-1:NZ_CP021923.1/CP021923.1",119,0,"2017-06-22T00:00:00Z",159
"Acetobacter pasteurianus subsp. pasteurianus","Bacteria;Proteobacteria;Alphaproteobacteria","SRCM101468","SAMN07211335","PRJNA389952",0.184348,53.0974,"pAP1468-2:NZ_CP021924.1/CP021924.1",141,0,"2017-06-22T00:00:00Z",178
"Acetobacter pasteurianus subsp. pasteurianus","Bacteria;Proteobacteria;Alphaproteobacteria","SRCM101468","SAMN07211335","PRJNA389952",0.0499,53.8737,"pAP1468-3:NZ_CP021925.1/CP021925.1",52,0,"2017-06-22T00:00:00Z",60
"Acetobacter persici","Bacteria;Proteobacteria;Alphaproteobacteria","TMW2.1084","SAMN04396916","PRJNA311264",0.526169,52.7559,"pAC1084_1:NZ_CP014688.1/CP014688.1",476,0,"2017-02-27T00:00:00Z",497
"Acetobacter pomorum","Bacteria;Proteobacteria;Alphaproteobacteria","BDGP5","SAMN07682859","PRJNA397225",0.131455,51.6565,"pApBDGP5A:NZ_CP023658.1/CP023658.1",117,0,"2017-10-07T00:00:00Z",137
"Acetobacter pomorum","Bacteria;Proteobacteria;Alphaproteobacteria","BDGP5","SAMN07682859","PRJNA397225",0.00916,53.6135,"pApBDGP5B:NZ_CP023659.1/CP023659.1",9,0,"2017-10-07T00:00:00Z",12
"Acetobacter pomorum","Bacteria;Proteobacteria;Alphaproteobacteria","BDGP5","SAMN07682859","PRJNA397225",0.019216,53.7521,"pApBDGP5C:NZ_CP023660.1/CP023660.1",19,0,"2017-10-07T00:00:00Z",25
