Organism Name,Organism Groups,Strain,BioSample,BioProject,Size(Mb),GC%,Type,Replicons,CDS,Release Date,Genes
"Abies sibirica","Eukaryota;Plants;Land Plants","","","PRJNA390367",0.121224,38.2606,"chloroplast","NC_035067.1/KR476376.1",74,"2017-06-13T00:00:00Z",120
"Abisara fylloides","Eukaryota;Animals;Insects","","","PRJNA212609",0.015301,18.8288,"mitochondrion","NC_021746.1/HQ259069.1",13,"2013-07-18T00:00:00Z",13
"Ablennes hians","Eukaryota;Animals;Fishes","","","PRJNA31075",0.016825,41.7415,"mitochondrion","NC_011180.1/AB373007.1",13,"2008-08-27T00:00:00Z",13
"Aborichthys elongatus","Eukaryota;Animals;Fishes","","","PRJNA350101",0.016544,40.5404,"mitochondrion","NC_031582.1/AP011304.1",13,"2016-10-21T00:00:00Z",37
"Abramis brama","Eukaryota;Animals;Fishes","","","PRJNA190179",0.016607,43.0421,"mitochondrion","NC_020356.1/AP009305.1",13,"2013-02-25T00:00:00Z",13
"Abraxas suspecta","Eukaryota;Animals;Insects","","","PRJNA387870",0.015537,19.1285,"mitochondrion","NC_034804.1/KY095828.1",13,"2017-05-24T00:00:00Z",37
"Abronia graminea","Eukaryota;Animals;Reptiles","","","PRJNA12408",0.016016,39.6978,"mitochondrion","NC_005958.1/AB080273.1",13,"2004-07-02T00:00:00Z",13
"Abrornis inornata","Eukaryota;Animals;Birds","","","PRJNA259467",0.016875,46.5185,"mitochondrion","NC_024726.1/KF742677.1",13,"2014-08-26T00:00:00Z",13
"Abrornis proregulus","Eukaryota;Animals;Birds","","","PRJNA439058",0.01688,46.9727,"mitochondrion","NC_037189.1/MG189603.1",13,"2018-03-23T00:00:00Z",37
"Abrota ganga","Eukaryota;Animals;Insects","","","PRJNA253431",0.015356,18.794,"mitochondrion","NC_024404.1/KF590536.1",13,"2014-06-24T00:00:00Z",13
"Abrus expansivus","Eukaryota;Animals;Insects","","","PRJNA594675",0.015904,25.2578,"mitochondrion","NC_045238.1/MK033020.1",13,"2019-12-12T00:00:00Z",37
"Abrus precatorius","Eukaryota;Plants;Land Plants","","","PRJNA628333",0.1565,35.4032,"plastid","NC_047402.1/MN709888.1",83,"2020-04-26T00:00:00Z",130
"Abscondita anceyi","Eukaryota;Animals;Insects","","","PRJNA504191",0.016519,20.1586,"mitochondrion","NC_039706.1/MH020192.1",13,"2018-11-09T00:00:00Z",37
"Abscondita terminalis","Eukaryota;Animals;Insects","","","PRJNA573396",0.016402,20.1988,"mitochondrion","NC_044776.1/MK292092.1",13,"2019-09-21T00:00:00Z",37
"Absidia glauca CBS 101.48","Eukaryota;Fungi;Other Fungi","","","PRJNA415454",0.06308,28.1785,"mitochondrion","NC_036158.1/KU196782.1",28,"2017-10-23T00:00:00Z",55
"Abudefduf bengalensis","Eukaryota;Animals;Fishes","","","PRJNA527593",0.016776,44.8259,"mitochondrion","NC_041192.1/MH678614.1",13,"2019-03-18T00:00:00Z",37
"Abudefduf vaigiensis","Eukaryota;Animals;Fishes","","","PRJNA18909",0.016703,45.405,"mitochondrion","NC_009064.1/AP006016.1",13,"2007-02-27T00:00:00Z",13
"Acacia dealbata","Eukaryota;Plants;Land Plants","","","PRJNA390357",0.174217,35.3863,"chloroplast","NC_034985.1/KX852435.1",91,"2017-06-13T00:00:00Z",137
"Acacia ligulata","Eukaryota;Plants;Land Plants","","","PRJNA272060",0.174233,35.3745,"chloroplast","NC_026134.2/LN555649.2",89,"2015-01-05T00:00:00Z",134
"Acacia ligulata","Eukaryota;Plants;Land Plants","","","PRJNA524540",0.698138,45.0642,"mitochondrion","NC_040998.1/",38,"2019-02-27T00:00:00Z",63
"Acacia podalyriifolia","Eukaryota;Plants;Land Plants","","","PRJNA628201",0.175589,35.2044,"plastid","NC_047330.1/MN709810.1",90,"2020-04-26T00:00:00Z",136
"Acanella arbuscula","Eukaryota;Animals;Other Animals","","","PRJNA30439",0.018616,37.2529,"mitochondrion","NC_011016.2/EF672731.2",14,"2008-06-23T00:00:00Z",14
"Acanthacorydalis orientalis","Eukaryota;Animals;Insects","","","PRJNA238088",0.015753,23.2337,"mitochondrion","NC_023462.1/KF840564.1",13,"2014-02-13T00:00:00Z",13
"Acanthaluteres brownii","Eukaryota;Animals;Fishes","","","PRJNA33743",0.016441,47.2903,"mitochondrion","NC_011947.1/AP009212.1",13,"2009-01-22T00:00:00Z",13
"Acanthamoeba castellanii Neff (ATCC 30010)","Eukaryota;Protists;Other Protists","","","PRJNA11812",0.041591,29.3958,"mitochondrion","NC_001637.1/U12386.1",40,"1994-10-31T00:00:00Z",57
"Acanthaphritis unoorum","Eukaryota;Animals;Fishes","","","PRJNA383179",0.01662,42.864,"mitochondrion","NC_034344.1/AP017452.1",13,"2017-04-17T00:00:00Z",37
"Acanthaspis cincticrus","Eukaryota;Animals;Insects","","","PRJNA479056",0.015686,28.0122,"mitochondrion","NC_037735.1/KY069958.1",13,"2018-07-05T00:00:00Z",37
"Acanthaspis ruficeps","Eukaryota;Animals;Insects","","","PRJNA453299",0.015846,28.1459,"mitochondrion","NC_037369.1/KX505848.1",13,"2018-04-24T00:00:00Z",37
"Acanthaster brevispinus","Eukaryota;Animals;Other Animals","","","PRJNA16358",0.016254,43.6262,"mitochondrion","NC_007789.1/AB231476.1",13,"2006-02-08T00:00:00Z",13
"Acanthaster planci","Eukaryota;Animals;Other Animals","","","PRJNA397419",0.016234,43.6615,"mitochondrion","MT:NC_007788.1/",13,"2006-02-08T00:00:00Z",13
"Acanthis flammea","Eukaryota;Animals;Birds","","","PRJNA287404",0.01682,45.4875,"mitochondrion","NC_027285.1/KR422696.1",13,"2015-06-18T00:00:00Z",37
"Acanthobrama persidis","Eukaryota;Animals;Fishes","","","PRJNA350103",0.016613,44.2244,"mitochondrion","NC_031562.1/AP011264.1",13,"2016-10-21T00:00:00Z",37
"Acanthocalyx alba","Eukaryota;Plants;Land Plants","","","PRJNA579672",0.157999,38.3604,"chloroplast","NC_045055.1/MN524639.1",75,"2019-10-29T00:00:00Z",128
"Acanthocardia tuberculata","Eukaryota;Animals;Other Animals","","","PRJNA17905",0.016104,40.0956,"mitochondrion","NC_008452.1/DQ632743.1",12,"2006-10-05T00:00:00Z",12
"Acanthocepola krusensternii","Eukaryota;Animals;Fishes","","","PRJNA383180",0.016415,45.7447,"mitochondrion","NC_034333.1/AP017434.1",13,"2017-04-17T00:00:00Z",37
"Acanthoceras zachariasii","Eukaryota;Other;Other","","","PRJNA479225",0.120392,29.801,"chloroplast","NC_038009.1/MG755808.1",135,"2018-07-05T00:00:00Z",168
"Acanthocheilonema viteae","Eukaryota;Animals;Roundworms","","","PRJNA76917",0.013724,26.4573,"mitochondrion","NC_016197.1/HQ186249.1",12,"2011-11-15T00:00:00Z",12
"Acanthochitona avicula","Eukaryota;Protists;Other Protists","","","PRJNA628398",0.015203,31.4346,"mitochondrion","NC_047426.1/MN864063.1",13,"2020-04-26T00:00:00Z",37
"Acanthocobitis botia","Eukaryota;Animals;Fishes","","","PRJNA377006",0.01666,42.479,"mitochondrion","NC_033958.1/AP012138.1",13,"2017-02-27T00:00:00Z",37
"Acanthocobitis zonalternans","Eukaryota;Animals;Fishes","","","PRJNA377008",0.016642,43.5705,"mitochondrion","NC_033959.1/AP012140.1",13,"2017-02-27T00:00:00Z",37
"Acanthogobius hasta","Eukaryota;Animals;Fishes","","","PRJNA12556",0.016663,45.46,"mitochondrion","NC_006131.1/AY486321.1",13,"2004-08-11T00:00:00Z",13
"Acanthopagrus latus","Eukaryota;Animals;Fishes","","","PRJNA30195",0.016609,44.795,"mitochondrion","NC_010977.1/EF506764.1",13,"2008-06-13T00:00:00Z",13
"Acanthopagrus schlegelii","Eukaryota;Animals;Fishes","","","PRJNA174506",0.016649,44.0927,"mitochondrion","NC_018553.1/JQ746035.1",13,"2012-09-10T00:00:00Z",13
"Acanthopagrus schlegelii x Pagrus major","Eukaryota;Animals;Fishes","","","PRJNA524617",0.016649,44.0987,"mitochondrion","NC_040957.1/MK112875.1",13,"2019-02-27T00:00:00Z",37
"Acanthorhodeus chankaensis","Eukaryota;Animals;Fishes","","","PRJNA232226",0.016774,42.3513,"mitochondrion","NC_023101.1/KF695385.1",13,"2013-12-19T00:00:00Z",13
"Acanthorhodeus gracilis","Eukaryota;Animals;Fishes","","","PRJNA302509",0.016988,43.101,"mitochondrion","NC_028416.1/KT591478.1",13,"2015-11-17T00:00:00Z",37
"Acanthoscelides obtectus","Eukaryota;Animals;Insects","","","PRJNA400934",0.01613,23.602,"mitochondrion","NC_035677.1/KX825864.1",13,"2017-08-31T00:00:00Z",37
"Acanthurus leucosternon","Eukaryota;Animals;Fishes","","","PRJNA20813",0.016434,44.3349,"mitochondrion","NC_009830.1/EU136032.1",13,"2007-09-19T00:00:00Z",13
"Acanthurus lineatus","Eukaryota;Animals;Fishes","","","PRJNA28015",0.016532,43.57,"mitochondrion","NC_010108.2/EU273284.2",13,"2007-12-05T00:00:00Z",13
"Acantopsis choirorhynchos","Eukaryota;Animals;Fishes","","","PRJNA18433",0.0166,43.4036,"mitochondrion","NC_008669.1/AB242161.1",13,"2006-12-12T00:00:00Z",13
"Acasta sulcata","Eukaryota;Animals;Other Animals","","","PRJNA311809",0.015326,27.5936,"mitochondrion","NC_029168.1/KJ754818.1",13,"2016-02-12T00:00:00Z",37
"Accipiter gentilis","Eukaryota;Animals;Birds","","","PRJNA33511",0.018266,44.1147,"mitochondrion","NC_011818.1/AP010797.1",13,"2009-01-05T00:00:00Z",13
"Accipiter nisus","Eukaryota;Animals;Birds","","","PRJNA267389",0.018647,43.0364,"mitochondrion","NC_025580.1/KM360148.1",13,"2014-11-14T00:00:00Z",13
"Accipiter trivirgatus","Eukaryota;Animals;Birds","","","PRJNA595247",0.018454,44.4402,"mitochondrion","NC_045364.1/MK953813.1",13,"2019-12-12T00:00:00Z",37
"Accipiter virgatus","Eukaryota;Animals;Birds","","","PRJNA272013",0.017952,45.0479,"mitochondrion","NC_026082.1/KJ699124.1",13,"2015-01-10T00:00:00Z",13
"Acentrogobius caninus","Eukaryota;Animals;Fishes","","","PRJNA527528",0.016614,45.9673,"mitochondrion","NC_041193.1/MH678615.1",13,"2019-03-18T00:00:00Z",37
"Acentrogobius chlorostigmatoides","Eukaryota;Animals;Fishes","","","PRJNA190148",0.017098,44.6485,"mitochondrion","NC_020346.1/KC196074.1",13,"2013-02-25T00:00:00Z",13
"Acentrogobius pflaumii","Eukaryota;Animals;Fishes","","","PRJNA168399",0.016515,47.6597,"mitochondrion","NC_018064.1/JX029961.1",13,"2012-06-13T00:00:00Z",13
"Acer amplum subsp. catalpifolium","Eukaryota;Plants;Land Plants","","","PRJNA527540",0.157349,37.8623,"chloroplast","NC_041080.1/MF179637.1",89,"2019-03-18T00:00:00Z",137
"Acer buergerianum","Eukaryota;Plants;Land Plants","","","PRJNA387895",0.156477,37.8797,"chloroplast","NC_034744.1/KY419137.1",88,"2017-05-24T00:00:00Z",133
"Acer davidii","Eukaryota;Plants;Land Plants","","","PRJNA325991",0.157044,37.941,"chloroplast","NC_030331.1/KU977442.1",86,"2016-06-17T00:00:00Z",136
"Acer fenzelianum","Eukaryota;Plants;Land Plants","","","PRJNA600914",0.157373,37.828,"chloroplast","NC_045527.1/MK479221.1",87,"2020-01-13T00:00:00Z",137
"Acer griseum","Eukaryota;Plants;Land Plants","","","PRJNA383237",0.156857,37.9097,"chloroplast","NC_034346.1/KY511609.1",86,"2017-04-17T00:00:00Z",136
"Acer laevigatum","Eukaryota;Plants;Land Plants","","","PRJNA546354",0.156905,37.8796,"chloroplast","NC_042443.1/MF521832.1",87,"2019-06-06T00:00:00Z",137
"Acer miaotaiense","Eukaryota;Plants;Land Plants","","","PRJNA326004",0.156595,37.885,"chloroplast","NC_030343.1/KX098452.1",89,"2016-06-17T00:00:00Z",137
"Acer morrisonense","Eukaryota;Plants;Land Plants","","","PRJNA313561",0.157197,37.8188,"chloroplast","NC_029371.1/KT970611.1",86,"2016-03-01T00:00:00Z",136
"Acer palmatum","Eukaryota;Plants;Land Plants","","","PRJNA388996",0.157367,37.8364,"plastid","NC_034932.1/KY457568.1",89,"2017-06-02T00:00:00Z",138
"Acer pseudosieboldianum","Eukaryota;Plants;Land Plants","","","PRJNA615597",0.157053,37.8445,"chloroplast","NC_046487.1/MK329222.1",86,"2020-03-26T00:00:00Z",135
"Acer sino-oblongum","Eukaryota;Plants;Land Plants","","","PRJNA509850",0.157121,37.9421,"chloroplast","NC_040106.1/KY987160.1",88,"2018-12-14T00:00:00Z",137
"Acer takesimense","Eukaryota;Plants;Land Plants","","","PRJNA615598",0.157023,37.8607,"chloroplast","NC_046488.1/MK329223.1",86,"2020-03-26T00:00:00Z",135
"Acer triflorum","Eukaryota;Plants;Land Plants","","","PRJNA628222",0.156024,37.9038,"chloroplast","NC_047296.1/MN602455.1",88,"2020-04-26T00:00:00Z",136
"Acer truncatum","Eukaryota;Plants;Land Plants","","","PRJNA439066",0.156262,37.8896,"chloroplast","NC_037211.1/MG209700.1",89,"2018-03-23T00:00:00Z",137
"Acer wilsonii","Eukaryota;Plants;Land Plants","","","PRJNA524579",0.157067,37.8673,"chloroplast","NC_040988.1/MG012225.1",88,"2019-02-27T00:00:00Z",136
"Acer yangbiense","Eukaryota;Plants;Land Plants","Malutang-1-2009seedling","SAMN11026391","PRJNA524417",0.803281,45.4632,"mitochondrion","MT:CM017774.1",53,"2019-08-23T00:00:00Z",53
"Acer yangbiense","Eukaryota;Plants;Land Plants","Malutang-1-2009seedling","SAMN11026391","PRJNA524417",0.155707,37.961,"chloroplast","Pltd:CM017775.1",28,"2019-08-23T00:00:00Z",28
"Acerella muscorum","Eukaryota;Animals;Insects","","","PRJNA278557",0.015018,18.7042,"mitochondrion","NC_026675.1/KJ101608.1",13,"2015-03-17T00:00:00Z",13
"Acerentomon microrhinus","Eukaryota;Animals;Insects","","","PRJNA278552",0.015213,28.6005,"mitochondrion","NC_026666.1/JQ728012.1",13,"2015-03-17T00:00:00Z",13
"Aceros waldeni","Eukaryota;Animals;Birds","","","PRJNA62581",0.021657,44.9831,"mitochondrion","NC_015085.1/HQ834450.1",14,"2011-02-07T00:00:00Z",14
"Acestrorhynchus sp. NM-2010","Eukaryota;Animals;Fishes","","","PRJNA68779",0.016758,42.7199,"mitochondrion","NC_015755.1/AP011981.1",13,"2011-07-06T00:00:00Z",13
"Acetes chinensis","Eukaryota;Animals;Other Animals","","","PRJNA158445",0.01574,29.371,"mitochondrion","NC_017600.1/JN689221.1",13,"2012-04-11T00:00:00Z",13
"Achalinus meiguensis","Eukaryota;Animals;Reptiles","","","PRJNA32743",0.017239,45.6697,"mitochondrion","NC_011576.1/FJ424614.1",13,"2008-11-14T00:00:00Z",13
"Achalinus rufescens","Eukaryota;Animals;Reptiles","","","PRJNA356582",0.017339,42.6841,"mitochondrion","NC_032085.1/KT897595.1",13,"2016-12-07T00:00:00Z",37
"Achalinus spinalis","Eukaryota;Animals;Reptiles","","","PRJNA356561",0.017165,44.3227,"mitochondrion","NC_032084.1/KT897594.1",13,"2016-12-07T00:00:00Z",37
"Achatina fulica","Eukaryota;Animals;Other Animals","","","PRJNA256394",0.015057,36.5544,"mitochondrion","NC_024601.1/KJ744205.1",13,"2014-07-28T00:00:00Z",13
"Achatinella mustelina","Eukaryota;Animals;Other Animals","","","PRJNA321903",0.016323,19.9289,"mitochondrion","NC_030190.1/KU525108.1",13,"2016-05-19T00:00:00Z",37
"Achatocarpus nigricans","Eukaryota;Plants;Land Plants","","","PRJNA524611",0.131863,35.367,"plastid","NC_040946.1/MK397908.1",78,"2019-02-27T00:00:00Z",111
"Achatocarpus pubescens","Eukaryota;Plants;Land Plants","","","PRJNA524567",0.131763,35.4128,"plastid","NC_040947.1/MK397909.1",78,"2019-02-27T00:00:00Z",111
"Acheilognathus barbatus","Eukaryota;Animals;Fishes","","","PRJNA281905",0.01677,44.025,"mitochondrion","NC_026872.1/KP067832.1",13,"2015-04-22T00:00:00Z",37
"Acheilognathus intermedia","Eukaryota;Animals;Fishes","","","PRJNA43041",0.01661,45.5689,"mitochondrion","NC_013705.1/EF483933.1",13,"2010-01-05T00:00:00Z",13
"Acheilognathus macropterus","Eukaryota;Animals;Fishes","","","PRJNA43051",0.016774,42.6493,"mitochondrion","NC_013711.1/EF483935.1",13,"2010-01-05T00:00:00Z",13
"Acheilognathus majusculus","Eukaryota;Animals;Fishes","","","PRJNA306309",0.017155,43.1478,"mitochondrion","NC_028736.1/LC006056.1",13,"2015-12-17T00:00:00Z",41
"Acheilognathus meridianus","Eukaryota;Animals;Fishes","","","PRJNA344267",0.016563,42.118,"mitochondrion","NC_031152.1/KT692966.1",13,"2016-09-23T00:00:00Z",37
"Acheilognathus omeiensis","Eukaryota;Animals;Fishes","","","PRJNA453234",0.016774,43.3111,"mitochondrion","NC_037404.1/MG783572.1",13,"2018-04-24T00:00:00Z",37
"Acheilognathus rhombeus","Eukaryota;Animals;Fishes","","","PRJNA302510",0.01678,43.1108,"mitochondrion","NC_028433.1/KT601094.1",13,"2015-11-17T00:00:00Z",37
"Acheilognathus signifer","Eukaryota;Animals;Fishes","","","PRJNA43037",0.016566,45.3761,"mitochondrion","NC_013702.1/EF483930.1",13,"2010-01-05T00:00:00Z",13
"Acheilognathus somjinensis","Eukaryota;Animals;Fishes","","","PRJNA61743",0.016569,44.5772,"mitochondrion","NC_014882.1/FJ515921.1",13,"2011-01-07T00:00:00Z",13
"Acheilognathus tonkinensis","Eukaryota;Animals;Fishes","","","PRJNA546321",0.016767,43.514,"mitochondrion","NC_042407.1/MH261370.1",13,"2019-06-06T00:00:00Z",37
"Acheilognathus typus","Eukaryota;Animals;Fishes","","","PRJNA18389",0.016778,43.0325,"mitochondrion","NC_008668.1/AB239602.1",13,"2006-12-12T00:00:00Z",13
"Acheilognathus yamatsutae","Eukaryota;Animals;Fishes","","","PRJNA43053",0.016703,43.3216,"mitochondrion","NC_013712.1/EF483936.1",13,"2010-01-05T00:00:00Z",13
"Achirus lineatus","Eukaryota;Animals;Fishes","","","PRJNA241224",0.016577,45.9492,"mitochondrion","NC_023768.1/JQ639067.1",13,"2014-03-13T00:00:00Z",13
"Achlya hypogyna","Eukaryota;Protists;Other Protists","","","PRJNA217280",0.04684,22.3783,"mitochondrion","NC_022178.1/KF226724.1",43,"2013-09-12T00:00:00Z",76
"Achlys triphylla","Eukaryota;Plants;Land Plants","","SAMN07961718","PRJNA479276",0.156237,38.528,"chloroplast","NC_037726.1/MG461315.1",81,"2018-07-05T00:00:00Z",130
"Acholotermes chirotus","Eukaryota;Animals;Insects","","","PRJNA378079",0.01495,33.9398,"mitochondrion","NC_034135.1/KY224688.1",13,"2017-03-05T00:00:00Z",37
"Achyrachaena mollis","Eukaryota;Plants;Land Plants","","","PRJNA422819",0.150468,37.5714,"chloroplast","NC_036504.1/MF663009.1",83,"2017-12-18T00:00:00Z",115
"Aciculitermes aciculatus","Eukaryota;Animals;Insects","","","PRJNA378078",0.01495,31.2508,"mitochondrion","NC_034089.1/KY224548.1",13,"2017-03-05T00:00:00Z",37
"Aciculitermes maymyoensis","Eukaryota;Animals;Insects","","","PRJNA378012",0.01495,33.0033,"mitochondrion","NC_034107.1/KY224601.1",13,"2017-03-05T00:00:00Z",37
"Acidnotermes praus","Eukaryota;Animals;Insects","","","PRJNA378077",0.014913,34.0777,"mitochondrion","NC_034122.1/KY224646.1",13,"2017-03-05T00:00:00Z",37
"Acidosasa purpurea","Eukaryota;Plants;Land Plants","","","PRJNA70081",0.139697,38.897,"chloroplast","NC_015820.1/HQ337793.1",82,"2011-07-15T00:00:00Z",128
"Acinonyx jubatus","Eukaryota;Animals;Mammals","Rico","","PRJNA504297",0.017047,39.3735,"mitochondrion","MT:NC_005212.1/",13,"2003-11-17T00:00:00Z",13
"Acioa guianensis","Eukaryota;Plants;Land Plants","","","PRJNA328859",0.162329,36.2012,"chloroplast","NC_030534.1/KX158870.1",83,"2016-07-13T00:00:00Z",130
"Acipenser baerii","Eukaryota;Animals;Fishes","","","PRJNA158451",0.016763,45.3379,"mitochondrion","NC_017603.1/JQ045341.1",13,"2012-04-11T00:00:00Z",13
"Acipenser brevirostrum","Eukaryota;Animals;Fishes","","","PRJNA359981",0.01668,45.5396,"mitochondrion","NC_032715.1/KX817302.2",13,"2017-01-05T00:00:00Z",37
"Acipenser dabryanus","Eukaryota;Animals;Fishes","","","PRJNA12216",0.016438,46.1005,"mitochondrion","NC_005451.1/AY510085.1",13,"2004-02-19T00:00:00Z",13
"Acipenser dabryanus x Acipenser schrenckii","Eukaryota;Animals;Fishes","","","PRJNA421522",0.016439,46.0734,"mitochondrion","NC_036420.1/MF958972.1",13,"2017-12-07T00:00:00Z",37
"Acipenser fulvescens","Eukaryota;Animals;Fishes","","","PRJNA325968",0.016542,45.8167,"mitochondrion","NC_030325.1/KU985070.1",13,"2016-06-17T00:00:00Z",37
"Acipenser gueldenstaedtii","Eukaryota;Animals;Fishes","","","PRJNA37675",0.016594,45.5647,"mitochondrion","NC_012576.1/FJ392605.1",13,"2009-04-20T00:00:00Z",37
"Acipenser gueldenstaedtii x Acipenser baerii","Eukaryota;Animals;Fishes","","","PRJNA430673",0.016594,45.5044,"mitochondrion","NC_036675.1/KY231189.1",13,"2018-01-18T00:00:00Z",37
"Acipenser medirostris","Eukaryota;Animals;Fishes","","","PRJNA302511",0.016611,45.4699,"mitochondrion","NC_028405.1/KM591217.1",13,"2015-11-17T00:00:00Z",37
"Acipenser mikadoi","Eukaryota;Animals;Fishes","","","PRJNA344261",0.01661,45.4786,"mitochondrion","NC_031188.1/KX276658.1",13,"2016-09-23T00:00:00Z",37
"Acipenser nudiventris","Eukaryota;Animals;Fishes","","","PRJNA325960",0.016543,46.0134,"mitochondrion","NC_030344.1/KU321568.1",13,"2016-06-17T00:00:00Z",37
"Acipenser oxyrinchus","Eukaryota;Animals;Fishes","","","PRJNA301286",0.016565,45.6263,"mitochondrion","NC_028290.1/KP013103.1",13,"2015-11-05T00:00:00Z",37
"Acipenser ruthenus","Eukaryota;Animals;Fishes","","","PRJNA221710",0.01679,45.2412,"mitochondrion","NC_022453.1/KF153104.1",13,"2013-09-26T00:00:00Z",13
"Acipenser schrenckii","Eukaryota;Animals;Fishes","","","PRJNA212620",0.016684,45.8044,"mitochondrion","NC_021757.1/KC905169.1",13,"2013-07-18T00:00:00Z",13
"Acipenser schrenckii x Huso dauricus","Eukaryota;Animals;Fishes","","","PRJNA289819",0.016687,45.7662,"mitochondrion","NC_027522.1/KR059905.1",13,"2015-07-14T00:00:00Z",37
"Acipenser sinensis","Eukaryota;Animals;Fishes","","","PRJNA37845",0.016682,45.4442,"mitochondrion","NC_012646.1/EU719645.1",13,"2009-05-01T00:00:00Z",13
"Acipenser stellatus","Eukaryota;Animals;Fishes","","","PRJNA10652",0.016537,45.9999,"mitochondrion","NC_005795.1/AJ585050.1",13,"2004-03-12T00:00:00Z",13
"Acipenser sturio","Eukaryota;Animals;Fishes","","","PRJNA287932",0.016555,45.4545,"mitochondrion","NC_027417.1/KP997216.1",13,"2015-06-24T00:00:00Z",37
"Acipenser transmontanus","Eukaryota;Animals;Fishes","","","PRJNA12149",0.016692,45.8363,"mitochondrion","NC_004743.1/AB042837.1",13,"2003-04-23T00:00:00Z",13
"Acisoma panorpoides","Eukaryota;Animals;Insects","","","PRJNA550901",0.015742,25.0032,"mitochondrion","NC_042689.1/MH751435.1",13,"2019-06-25T00:00:00Z",37
